Codigo,Nome,Indice,Total,Não existe
1200054,Assis Brasil (AC),0.9858,3651,3599
1200104,Brasiléia (AC),0.9591,13741,13179
1200138,Bujari (AC),0.9086,3686,3349
1200179,Capixaba (AC),1.0000,3875,3875
1200203,Cruzeiro do Sul (AC),0.9036,51851,46851
1200252,Epitaciolândia (AC),0.9696,10405,10089
1200302,Feijó (AC),0.9016,16575,14944
1200328,Jordão (AC),1.0000,2262,2262
1200336,Mâncio Lima (AC),0.9784,8722,8534
1200344,Manoel Urbano (AC),0.9707,5254,5100
1200351,Marechal Thaumaturgo (AC),0.9848,3953,3893
1200385,Plácido de Castro (AC),0.9815,10338,10147
1200393,Porto Walter (AC),0.9590,3269,3135
1200401,Rio Branco (AC),0.9144,295708,270396
1200427,Rodrigues Alves (AC),0.9689,4306,4172
1200435,Santa Rosa do Purus (AC),0.9925,1877,1863
1200450,Senador Guiomard (AC),0.9941,12605,12531
1200500,Sena Madureira (AC),0.9658,23788,22975
1200609,Tarauacá (AC),0.9649,17315,16708
1200708,Xapuri (AC),0.9574,10046,9618
1200807,Porto Acre (AC),1.0000,1978,1978
1300029,Alvarães (AM),0.9666,7848,7586
1300060,Amaturá (AM),0.6668,4868,3246
1300086,Anamã (AM),0.9964,4149,4134
1300102,Anori (AM),0.9828,9976,9804
1300144,Apuí (AM),0.9776,10540,10304
1300201,Atalaia do Norte (AM),0.7188,6838,4915
1300300,Autazes (AM),0.9450,13794,13035
1300409,Barcelos (AM),0.9427,10901,10276
1300508,Barreirinha (AM),0.9811,11688,11467
1300607,Benjamin Constant (AM),0.6059,15462,9369
1300631,Beruri (AM),0.9376,7774,7289
1300680,Boa Vista do Ramos (AM),0.9948,7475,7436
1300706,Boca do Acre (AM),0.9589,19167,18380
1300805,Borba (AM),0.9039,14423,13037
1300839,Caapiranga (AM),1.0000,5103,5103
1300904,Canutama (AM),0.9912,6680,6621
1301001,Carauari (AM),0.9576,18349,17571
1301100,Careiro (AM),0.9483,9390,8905
1301159,Careiro da Várzea (AM),1.0000,996,996
1301209,Coari (AM),0.9094,46907,42657
1301308,Codajás (AM),0.9552,15787,15080
1301407,Eirunepé (AM),0.9726,20292,19735
1301506,Envira (AM),0.9772,10537,10297
1301605,Fonte Boa (AM),0.9811,15102,14816
1301654,Guajará (AM),0.9730,7336,7138
1301704,Humaitá (AM),0.9981,30363,30306
1301803,Ipixuna (AM),0.9918,8081,8015
1301852,Iranduba (AM),0.9111,28879,26312
1301902,Itacoatiara (AM),0.9300,57581,53551
1301951,Itamarati (AM),1.0000,4472,4472
1302009,Itapiranga (AM),0.9766,6368,6219
1302108,Japurá (AM),0.9985,3235,3230
