Codigo,Nome,Indice,Total,Subnormais
3513504,Cubatão,0.584774911,  118 331 ,  49 134 
3513801,Diadema,0.771937149,  385 613 ,  87 944 
3515004,Embu,0.857507633,  240 069 ,  34 208 
3515707,Ferraz de Vasconcelos,0.930806347,  168 079 ,  11 630 
3516309,Francisco Morato,0.944628849,  154 250 ,  8 541 
3516408,Franco da Rocha,0.924487053,  123 502 ,  9 326 
3518701,Guarujá,0.671434228,  290 435 ,  95 427 
3518800,Guarulhos,0.82310483, 1 214 759 ,  214 885 
3519071,Hortolândia,0.985552554,  188 407 ,  2 722 
3519501,Ibirarema,0.950067074,  6 709 ,   335 
3522208,Itapecerica da Serra,0.990127564,  149 102 ,  1 472 
3522505,Itapevi,0.984187498,  200 664 ,  3 173 
3523107,Itaquaquecetuba,0.914257545,  321 521 ,  27 568 
3523909,Itu,0.992025726,  153 619 ,  1 225 
3524402,Jacareí,0.951913185,  210 931 ,  10 143 
3525003,Jandira,0.980870785,  108 316 ,  2 072 
3525904,Jundiaí,0.949777822,  369 299 ,  18 547 
3526407,Laranjal Paulista,0.926556362,  25 203 ,  1 851 
3529005,Marília,0.981251342,  214 202 ,  4 016 
3529203,Martinópolis,0.989368192,  22 950 ,   244 
3529401,Mauá,0.797607637,  415 238 ,  84 041 
3534401,Osasco,0.879398283,  665 629 ,  80 276 
3534609,Osvaldo Cruz,0.974209426,  29 662 ,   765 
3536505,Paulínia,0.99564857,  82 042 ,   357 
3538709,Piracicaba,0.959157902,  363 473 ,  14 845 
3540705,Porto Ferreira,0.969314994,  51 328 ,  1 575 
3541000,Praia Grande,0.933672943,  261 477 ,  17 343 
3541307,Presidente Epitácio,0.991345245,  41 249 ,   357 
3543303,Ribeirão Pires,0.971016163,  112 787 ,  3 269 
3543402,Ribeirão Preto,0.976502292,  600 782 ,  14 117 
3545803,Santa Bárbara d'Oeste,0.996431033,  179 884 ,   642 
3547304,Santana de Parnaíba,0.963086878,  108 796 ,  4 016 
3547809,Santo André,0.873308855,  674 617 ,  85 468 
3548500,Santos,0.908680815,  417 864 ,  38 159 
3548708,São Bernardo do Campo,0.799558393,  762 217 ,  152 780 
3549904,São José dos Campos,0.98836693,  628 381 ,  7 310 
3550308,São Paulo,0.885847344, 11 216 559 , 1 280 400 
3551009,São Vicente,0.737792391,  330 593 ,  86 684 
3551900,Severínia,0.984913235,  15 444 ,   233 
3552403,Sumaré,0.967265459,  241 152 ,  7 894 
3552502,Suzano,0.978296773,  261 574 ,  5 677 
3552700,Tabatinga,0.985601002,  14 376 ,   207 
3552809,Taboão da Serra,0.889757008,  244 206 ,  26 922 
3553401,Tanabi,0.958496378,  24 022 ,   997 
3554805,Tremembé,0.994227994,  37 422 ,   216 
3556503,Várzea Paulista,0.95689494,  106 948 ,  4 610 
3557006,Votorantim,0.971704186,  108 744 ,  3 077 
3557105,Votuporanga,0.998096184,  84 567 ,   161 
4100400,Almirante Tamandaré,0.939771195,  103 057 ,  6 207 
4101804,Araucária,0.977961317,  119 018 ,  2 623 
4104105,Campo do Tenente,0.89791608,  7 102 ,   725 
4104204,Campo Largo,0.974876658,  112 087 ,  2 816 
